feature,importance
hour_cos,0.6642818428182863
hour,0.13468300007458484
hour_sin,0.0444798089215796
dow_sin,0.03811607753375856
day_of_week,0.0319300563687216
is_weekend,0.03070179813553187
is_night,0.00823619626584406
month_cos,0.005789085223241856
temp_c,0.005677168738317167
temp,0.00566391906147504
temp_c2,0.005653302027511693
is_rush_hour,0.004937065429030461
year,0.004858907894011935
dow_cos,0.004459841488535143
month,0.002416618558200958
month_sin,0.0023234026158924287
clouds_all_pct,0.0015637340883502663
clouds_all,0.0015569819313856906
weather_main_Clouds,0.001024883382155097
weather_main_Snow,0.0003199509070670428
weather_main_Clear,0.0002886303160895205
weather_main_Mist,0.0002600885145678002
rain_1h,0.00020743976997752422
rain_log,0.00019833900525446541
weather_main_Rain,0.00013028127127373977
weather_main_Haze,9.768774209956907e-05
is_raining,5.9150963110026024e-05
weather_main_Fog,2.647559473338878e-05
weather_main_Thunderstorm,1.4912860159747466e-05
weather_main_Drizzle,1.4049477743547292e-05
is_holiday,1.1560409483592477e-05
snow_log,7.748225157327693e-06
is_snowing,6.083147290578383e-06
snow_1h,3.911239577623403e-06
weather_main_Other,0.0
