model,seed,MAE,RMSE,R2
Random Forest,7,287.99527858020826,497.83811834868317,0.9358826898666315
Random Forest,42,287.85909748079246,497.88499377459715,0.935870614986837
Random Forest,99,288.1502736202706,499.1683637158317,0.9355395835303636
